XML Data Parsed for 01-Feb-2016Starting at: 1635h
POSIX,lon,lat
1454414722,-79.379837,43.6523169
1454414742,-79.379616,43.652367
1454414763,-79.379433,43.652416
1454414842,-79.3784639,43.6526179
1454414863,-79.378265,43.652668
1454414883,-79.377281,43.652882
1454414904,-79.376068,43.653084
1454414960,-79.375504,43.653183
1454414983,-79.374001,43.6535
1454415003,-79.373482,43.653618
1454415042,-79.372032,43.653934
1454415059,-79.370285,43.654316
1454415083,-79.369667,43.654469
1454415122,-79.368149,43.6548
1454415143,-79.366348,43.655182
1454415161,-79.3648149,43.655518
1454415182,-79.364464,43.655602
1454415202,-79.362984,43.655933
1454415222,-79.361099,43.656349
1454415243,-79.3593829,43.656734
1454415264,-79.358131,43.657017
1454415284,-79.356598,43.657368
1454415301,-79.355118,43.6577
1454415322,-79.353996,43.657951
1454415342,-79.352333,43.658318
1454415363,-79.350685,43.658684
1454415380,-79.350014,43.658833
1454415423,-79.349152,43.659016
1454415443,-79.34742,43.659416
1454415464,-79.345848,43.659752
1454415481,-79.344681,43.660034
1454415501,-79.34433,43.660099
1454415522,-79.3428799,43.660435
1454415543,-79.342651,43.6604839
1454415561,-79.342247,43.660583
1454415581,-79.3412479,43.660801
1454415602,-79.3402629,43.661018
1454415622,-79.339432,43.661201
1454415643,-79.3382029,43.6614689
1454415660,-79.337181,43.661701
1454415681,-79.335587,43.662067
1454415701,-79.333984,43.662418
1454415722,-79.33297,43.662632
1454415743,-79.331886,43.662868
1454415764,-79.330513,43.663185
1454415784,-79.330467,43.6632
1454415805,-79.330231,43.66325
1454415822,-79.328964,43.6635319
1454415842,-79.327202,43.663918
1454415862,-79.3256679,43.664268
1454415883,-79.324348,43.664566
1454415903,-79.32328,43.6648179
1454415921,-79.322685,43.664951
1454415944,-79.321899,43.665115
1454415962,-79.319847,43.665565
1454415983,-79.317818,43.666035
1454416000,-79.316818,43.666267
1454416024,-79.3159639,43.666451
1454416042,-79.314682,43.666752
1454416062,-79.314552,43.666782
1454416261,-79.313713,43.66695
1454416284,-79.313004,43.667084
1454416305,-79.312332,43.667233
1454416322,-79.310432,43.667702
1454416345,-79.309349,43.66795
1454416363,-79.308197,43.668201
1454416384,-79.306213,43.668652
1454416405,-79.306084,43.6686819
1454416425,-79.304382,43.669067
1454416456,-79.300049,43.670017
1454416476,-79.29705,43.670666
1454416494,-79.2958979,43.670918
1454416524,-79.2929149,43.6715159
1454416562,-79.2885359,43.672432
1454416581,-79.286049,43.672951
1454416602,-79.283653,43.67345
